Date,Adj Close,Close,High,Low,Open,Volume
2009-01-02,46.34000015258789,46.34000015258789,46.7400016784668,41.04999923706055,43.720001220703125,188601.0
2009-01-05,48.810001373291016,48.810001373291016,49.279998779296875,45.560001373291016,47.040000915527344,184679.0
2009-01-06,48.58000183105469,48.58000183105469,50.470001220703125,47.599998474121094,48.400001525878906,258762.0
2009-01-07,42.630001068115234,42.630001068115234,49.09000015258789,42.40999984741211,48.40999984741211,331307.0
2009-01-08,41.70000076293945,41.70000076293945,43.630001068115234,40.540000915527344,42.630001068115234,306262.0
2009-01-09,40.83000183105469,40.83000183105469,42.70000076293945,39.380001068115234,42.45000076293945,312485.0
2009-01-12,37.59000015258789,37.59000015258789,40.79999923706055,37.47999954223633,40.54999923706055,277431.0
2009-01-13,37.779998779296875,37.779998779296875,39.5,36.099998474121094,37.4900016784668,272828.0
2009-01-14,37.279998779296875,37.279998779296875,39.45000076293945,35.52000045776367,38.720001220703125,340615.0
2009-01-15,35.400001525878906,35.400001525878906,37.9900016784668,33.20000076293945,37.34000015258789,311078.0
2009-01-16,36.5099983215332,36.5099983215332,36.869998931884766,34.18000030517578,35.279998779296875,179925.0
2009-01-20,38.7400016784668,38.7400016784668,39.54999923706055,32.70000076293945,36.13999938964844,97975.0
2009-01-21,43.54999923706055,43.54999923706055,44.43000030517578,40.2400016784668,40.90999984741211,354707.0
2009-01-22,43.66999816894531,43.66999816894531,45.099998474121094,40.40999984741211,44.209999084472656,276261.0
2009-01-23,46.470001220703125,46.470001220703125,47.0,41.400001525878906,43.2599983215332,317569.0
2009-01-26,45.72999954223633,45.72999954223633,48.59000015258789,45.25,46.04999923706055,269756.0
2009-01-27,41.58000183105469,41.58000183105469,47.4900016784668,41.40999984741211,45.650001525878906,277496.0
2009-01-28,42.15999984741211,42.15999984741211,43.599998474121094,40.599998474121094,41.9900016784668,308439.0
2009-01-29,41.439998626708984,41.439998626708984,42.31999969482422,40.18000030517578,42.220001220703125,291416.0
2009-01-30,41.68000030517578,41.68000030517578,43.439998626708984,41.02000045776367,41.650001525878906,245854.0
2009-02-02,40.08000183105469,40.08000183105469,42.25,39.83000183105469,42.220001220703125,237726.0
2009-02-03,40.779998779296875,40.779998779296875,41.16999816894531,39.650001525878906,40.279998779296875,263645.0
2009-02-04,40.31999969482422,40.31999969482422,41.91999816894531,39.7400016784668,40.93000030517578,244615.0
